Retail sales of electricity United States monthly
https://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=g&freq=M&start=200101&end=202212&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
13:52:59 GMT+0100 (Central European Standard Time)
Data source: U.S. Energy Information Administration
Month,all sectors million kilowatthours,residential million kilowatthours,commercial million kilowatthours,industrial million kilowatthours
Jul 2016,381192.32814,156441.5236,135018.84084,89100.53838
Jul 2016,,,,
Jul 2016,,,,
Jun 2016,372172.26806,154409.32698,130038.31813,87076.3985
May 2016,329877.90515,125211.23945,120363.27304,83672.03383
May 2016,,,,
May 2016,,,,
Apr 2016,284707.64149,94198.0297,108436.89218,81491.45601
Mar 2016,269531.2373,88244.34036,102045.12866,78646.72682
Mar 2016,,,,
Mar 2016,,,,
Feb 2016,285812.35897,100226.57541,105739.17841,79237.36127
Jan 2016,296805.76317,115959.425,103451.68958,76748.45904
Dec 2015,320890.16476,130971.84829,110410.4764,78847.86312
Dec 2015,,,,
Dec 2015,,,,
Nov 2015,297343.55649,111670.43689,106829.42741,78224.38108
Oct 2015,275916.52883,92677.74922,104140.23952,78494.66844
Oct 2015,,,,
Oct 2015,,,,
Sep 2015,296055.34617,99349.04737,112821.48753,83248.83116
Aug 2015,332957.87525,125416.66628,122195.40637,84730.4842
Jul 2015,362031.76805,144515.14459,128518.92244,88373.07421
Jul 2015,,,,
Jul 2015,,,,
Jun 2015,362938.0669,146038.29057,128504.25329,87747.34656
May 2015,326396.89785,120299.75351,119270.12121,86217.70376
May 2015,,,,
May 2015,,,,
Apr 2015,288090.69944,95160.53288,109405.65371,82915.73893
Mar 2015,275475.12077,90199.18738,104167.79782,80488.63267
Mar 2015,,,,
Mar 2015,,,,
Feb 2015,305351.76924,117167.11068,107796.08358,79709.106
Jan 2015,306768.44011,123837.72058,105482.47635,76748.76531
Dec 2014,329666.32027,137764.85879,111619.65742,79608.99964
Dec 2014,,,,
Dec 2014,,,,
Nov 2014,309619.69283,120800.62015,108070.2444,80122.51809
Oct 2014,285412.58256,99485.77105,104245.46931,81044.19637
Oct 2014,,,,
Oct 2014,,,,
Sep 2014,296679.7844,98037.68189,113023.10289,84994.16687
Aug 2014,326907.12123,120741.34746,120048.81267,85489.15774
Jul 2014,351882.99204,135829.7966,125603.00367,89808.40816
Jul 2014,,,,
Jul 2014,,,,
Jun 2014,351523.98462,137027.96944,125434.14702,88417.10031
May 2014,322791.97998,118049.03675,118422.5304,85711.096
May 2014,,,,
May 2014,,,,
Apr 2014,291420.86896,95726.76781,109665.54886,85382.98728
Mar 2014,275893.66693,92289.71503,102458.94982,80505.32655
Mar 2014,,,,
Mar 2014,,,,
Feb 2014,302388.18814,114232.80446,106967.88672,80539.0692
Jan 2014,308941.13303,128475.35803,104352.64247,75413.26442
Dec 2013,341238.27229,146511.44233,113865.92486,80148.84693
Dec 2013,,,,
Dec 2013,,,,
Nov 2013,316474.53483,128966.06076,108762.40498,78067.10006
Oct 2013,281494.32405,97904.01594,103384.47877,79631.57395
Oct 2013,,,,
Oct 2013,,,,
Sep 2013,294370.25872,98893.01479,111906.62154,82979.76639
Aug 2013,323477.85626,121419.21582,118407.72153,83024.99127
Jul 2013,353579.59372,138065.06955,127063.27433,87806.36831
Jul 2013,,,,
Jul 2013,,,,
Jun 2013,358700.92813,143854.74884,127310.57593,86886.90809
May 2013,320200.66137,117982.10632,117410.41288,84169.85683
May 2013,,,,
May 2013,,,,
Apr 2013,289398.43306,95191.59812,108682.60602,84896.9274
Mar 2013,277781.90748,95540.85075,101394.9418,80216.47132
Mar 2013,,,,
Mar 2013,,,,
Feb 2013,297226.03086,112096.72548,104011.35848,80474.38927
Jan 2013,291480.36403,113113.88543,101015.6343,76692.04883
Dec 2012,320682.92852,131784.83713,107728.74656,80505.47227
Dec 2012,,,,
Dec 2012,,,,
Nov 2012,297288.12385,114187.60211,104122.34865,78359.60426
Oct 2012,278211.92275,97155.23195,101640.73826,78847.34019
Oct 2012,,,,
Oct 2012,,,,
Sep 2012,290735.45792,96669.43338,110471.00997,82995.68967
Aug 2012,318089.70771,118831.34204,116584.97051,82059.90033
Jul 2012,364784.71655,147941.04266,128106.4177,88104.63253
Jul 2012,,,,
Jul 2012,,,,
Jun 2012,370962.70076,154579.07102,128535.30752,87219.18043
May 2012,325159.86926,122934.13138,118009.39147,83619.0094
May 2012,,,,
May 2012,,,,
Apr 2012,296968.16897,100895.11737,110800.44713,84677.64946
Mar 2012,270759.60242,88103.20953,101036.70763,81029.67494
Mar 2012,,,,
Mar 2012,,,,
Feb 2012,283731.20675,99361.68572,102474.42295,81298.24301
Jan 2012,286982.92448,107975.35744,100080.12366,78298.27379
Dec 2011,310975.3842,125881.48337,105239.31021,79204.65598
Dec 2011,,,,
Dec 2011,,,,
Nov 2011,301844.19734,116341.02312,104866.07866,79981.58371
Oct 2011,275235.16385,93220.49602,100552.41991,80872.4358
Oct 2011,,,,
Oct 2011,,,,
Sep 2011,288132.88819,94585.12049,108649.56376,84281.7274
Aug 2011,326247.22166,122719.49868,117951.31165,84942.79578
Jul 2011,372719.82806,153738.7326,129368.47817,88987.35194
Jul 2011,,,,
Jul 2011,,,,
Jun 2011,370691.91322,154728.9198,128065.43317,87247.10363
May 2011,328707.33187,125982.78519,118170.17391,83911.56382
May 2011,,,,
May 2011,,,,
Apr 2011,287992.74781,97689.09798,107624.53459,82060.54846
Mar 2011,275203.87798,93701.63929,100506.21559,80367.2619
Mar 2011,,,,
Mar 2011,,,,
Feb 2011,292051.85887,104922.12296,104257.05814,82209.08469
Jan 2011,296903.49799,120109.96908,99795.53835,76361.23172
Dec 2010,334115.65319,145061.68779,108250.63314,80092.87514
Dec 2010,,,,
Dec 2010,,,,
Nov 2010,319047.69506,130013.88415,108026.30702,80313.27654
Oct 2010,274900.06863,93166.13873,101518.93623,79613.8808
Oct 2010,,,,
Oct 2010,,,,
Sep 2010,287839.79568,96688.03347,108460.80315,82080.65341
Aug 2010,327742.33635,124582.73197,119136.72305,83389.71461
Jul 2010,371769.31409,154053.43099,129166.3266,87927.06843
Jul 2010,,,,
Jul 2010,,,,
Jun 2010,369017.71929,154688.71374,127923.96458,85743.80969
May 2010,330893.20089,127495.96897,119384.99993,83359.7068
May 2010,,,,
May 2010,,,,
Apr 2010,283729.2674,94843.00591,106172.1027,82113.9719
Mar 2010,267052.12908,88046.43494,99790.36122,78620.38762
Mar 2010,,,,
Mar 2010,,,,
Feb 2010,292511.35075,111789.98549,101751.35586,78319.08909
Jan 2010,298459.72804,122840.19897,100746.97804,74190.72741
Dec 2009,331878.76297,147499.8756,108120.50557,75548.90308
Dec 2009,,,,
Dec 2009,,,,
Nov 2009,310291.04959,124013.23123,108477.64119,77114.70448
Oct 2009,268157.85379,93027.97812,98901.26048,75638.71671
Oct 2009,,,,
Oct 2009,,,,
Sep 2009,287116.30848,98552.02288,108513.64705,79450.79424
Aug 2009,310563.30622,115163.38169,114900.22901,79863.39097
Jul 2009,344845.1952,138222.67826,123776.73329,82199.24951
Jul 2009,,,,
Jul 2009,,,,
Jun 2009,337878.07154,137497.95889,121323.02953,78390.88288
May 2009,305520.46993,114395.18493,114832.07907,75680.59193
May 2009,,,,
May 2009,,,,
Apr 2009,275275.97676,94312.17694,105211.81067,75150.83707
Mar 2009,265463.64608,91631.16242,99804.15979,73415.09341
Mar 2009,,,,
Mar 2009,,,,
Feb 2009,283807.82623,106501.36115,102458.09406,74171.16102
Jan 2009,286251.46303,115212.23344,99010.67533,71358.00943
Dec 2008,321623.96705,136228.78303,109643.16445,74983.03633
Dec 2008,,,,
Dec 2008,,,,
Nov 2008,308916.12865,125195.49051,107185.88253,75868.67965
Oct 2008,278330.40976,95766.49248,102414.68843,79538.65519
Oct 2008,,,,
Oct 2008,,,,
Sep 2008,291762.07434,96110.5902,110849.71329,84164.27206
Aug 2008,321906.21066,117078.13536,118288.84717,85910.35521
Jul 2008,351856.42843,138459.9164,124195.6496,88551.91025
Jul 2008,,,,
Jul 2008,,,,
Jun 2008,360426.56763,143179.15198,128072.03466,88526.8087
May 2008,328592.49724,121375.87566,119372.96065,87223.7717
May 2008,,,,
May 2008,,,,
Apr 2008,288276.05761,92245.62751,107473.48707,87963.07225
Mar 2008,277963.41678,92165.89406,101487.44971,83695.60892
Mar 2008,,,,
Mar 2008,,,,
Feb 2008,294625.33802,107162.48294,103334.63273,83497.98014
Jan 2008,305094.91897,118553.64589,104396.86107,81484.31279
Dec 2007,326214.57102,133368.44196,109061.27815,83090.75123
Dec 2007,,,,
Dec 2007,,,,
Nov 2007,307704.27239,117407.95458,105908.55314,83724.55026
Oct 2007,286299.30566,95904.83059,104603.26135,85118.05351
Oct 2007,,,,
Oct 2007,,,,
Sep 2007,307782.64949,103753.92219,114481.20828,88895.8681
Aug 2007,337524.56498,129512.02449,119898.38511,87427.61386
Jul 2007,373364.82394,150101.49426,130474.68013,92115.23385
Jul 2007,,,,
Jul 2007,,,,
Jun 2007,352642.31557,139027.02976,123923.08608,89017.33579
May 2007,323006.59103,117417.59514,117351.90897,87572.06503
May 2007,,,,
May 2007,,,,
Apr 2007,292800.25887,96388.85378,108558.89122,87241.06727
Mar 2007,275340.50697,90282.04653,101051.20537,83361.38391
Mar 2007,,,,
Mar 2007,,,,
Feb 2007,291660.34841,105694.7597,102640.14808,82582.47097
Jan 2007,301331.31465,121464.24918,100756.42866,78391.79387
Dec 2006,315103.76002,125286.23581,106667.43962,82384.48859
Dec 2006,,,,
Dec 2006,,,,
Nov 2006,300119.15674,114881.59882,104672.98538,79937.19578
Oct 2006,277181.9685,94842.85118,101103.66444,80653.08159
Oct 2006,,,,
Oct 2006,,,,
Sep 2006,291186.10568,96246.21398,109000.01878,85337.48571
Aug 2006,317282.10014,116072.16359,114230.57436,86364.06714
Jul 2006,368633.76482,150064.42521,127654.72298,90284.79348
Jul 2006,,,,
Jul 2006,,,,
Jun 2006,362386.77017,147338.32912,125541.18393,88879.95233
May 2006,321839.88968,118815.30772,115785.42304,86629.84604
May 2006,,,,
May 2006,,,,
